country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB",06-04-2025,10.073232,76.302765,NO2,7,8,8
India,Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",06-04-2025,26.259242,78.216432,PM2.5,87,356,233
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB",06-04-2025,8.5637,76.8865,SO2,2,15,6
India,Madhya Pradesh,Bhopal,"T T Nagar, Bhopal - MPPCB",06-04-2025,23.233584,77.400574,OZONE,33,175,87
India,Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",06-04-2025,26.259242,78.216432,PM10,90,285,173
India,Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",06-04-2025,26.259242,78.216432,NH3,9,19,13
India,Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",06-04-2025,26.259242,78.216432,SO2,16,19,17
India,Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",06-04-2025,26.259242,78.216432,OZONE,42,122,48
India,Madhya Pradesh,Indore,"Airport Area, Indore - IMC",06-04-2025,22.7289,75.8076,SO2,16,16,16
India,Madhya Pradesh,Indore,"Airport Area, Indore - IMC",06-04-2025,22.7289,75.8076,OZONE,8,19,9
India,Madhya Pradesh,Jabalpur,"Gupteshwar, Jabalpur - JMC",06-04-2025,23.142888,79.916147,CO,NA,NA,NA
India,Madhya Pradesh,Jabalpur,"Gupteshwar, Jabalpur - JMC",06-04-2025,23.142888,79.916147,OZONE,NA,NA,NA
India,Madhya Pradesh,Jabalpur,"Marhatal, Jabalpur - MPPCB",06-04-2025,23.168606,79.932247,PM2.5,17,307,104
India,Madhya Pradesh,Jabalpur,"Marhatal, Jabalpur - MPPCB",06-04-2025,23.168606,79.932247,SO2,9,18,13
India,Madhya Pradesh,Jabalpur,"Suhagi, Jabalpur - JMC",06-04-2025,23.218135,79.95777,CO,16,122,49
India,Madhya Pradesh,Maihar,"Sahilara, Maihar - KJS Cements",06-04-2025,24.2613009,80.7231783,CO,17,26,25
India,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",06-04-2025,23.10844,77.511428,PM2.5,28,408,146
India,Madhya Pradesh,Katni,"Gole Bazar, Katni - MPPCB",06-04-2025,23.50016,80.23284,SO2,17,105,36
India,Madhya Pradesh,Katni,"Gole Bazar, Katni - MPPCB",06-04-2025,23.50016,80.23284,OZONE,6,140,17
India,Madhya Pradesh,Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",06-04-2025,22.624758,75.675238,OZONE,63,129,89
India,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",06-04-2025,23.10844,77.511428,NH3,4,11,7
India,Madhya Pradesh,Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",06-04-2025,22.624758,75.675238,NH3,3,4,4
India,Madhya Pradesh,Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC",06-04-2025,23.163174,79.973061,PM2.5,17,90,56
India,Madhya Pradesh,Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab",06-04-2025,23.331731,75.045981,SO2,41,47,42
India,Madhya Pradesh,Ujjain,"Mahakaleshwar Temple, Ujjain - MPPCB",06-04-2025,23.182719,75.768218,OZONE,44,58,51
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB",06-04-2025,19.10122,74.73339,OZONE,6,108,27
India,Madhya Pradesh,Sagar,"Civil Lines, Sagar - MPPCB",06-04-2025,23.838586,78.759431,OZONE,3,68,31
India,Madhya Pradesh,Sagar,"Deen Dayal Nagar, Sagar - MPPCB",06-04-2025,23.8640158,78.80289321,CO,36,50,46
India,Madhya Pradesh,Sagar,"Civil Lines, Sagar - MPPCB",06-04-2025,23.838586,78.759431,PM10,17,119,53
India,Madhya Pradesh,Sagar,"Civil Lines, Sagar - MPPCB",06-04-2025,23.838586,78.759431,NH3,1,1,1
India,Madhya Pradesh,Sagar,"Civil Lines, Sagar - MPPCB",06-04-2025,23.838586,78.759431,SO2,6,24,10
India,Madhya Pradesh,Satna,"Bandhavgar Colony, Satna - Birla Cement",06-04-2025,24.58434363,80.8549414,PM10,54,57,55
India,Madhya Pradesh,Satna,"Bandhavgar Colony, Satna - Birla Cement",06-04-2025,24.58434363,80.8549414,CO,17,45,33
India,Madhya Pradesh,Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB",06-04-2025,24.10897,82.64558,NO2,8,153,74
India,Madhya Pradesh,Ujjain,"Mahakaleshwar Temple, Ujjain - MPPCB",06-04-2025,23.182719,75.768218,PM2.5,28,118,60
India,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",06-04-2025,19.8389439,75.244448,SO2,23,37,28
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB",06-04-2025,19.87562,75.38731,NO2,12,65,31
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB",06-04-2025,19.863756,75.321188,SO2,14,29,20
India,Maharashtra,Kolhapur,"Shivaji University, Kolhapur - MPCB",06-04-2025,16.6870449,74.2505872,PM10,49,70,57
